years_experience,skills_match_score,education_level,project_count,resume_length,github_activity,shortlisted,Candidate Score,Candidate Rank,Fit Level,Prediction
6,84.7,0,7,234,158,Rejected,15.5,170.0,Low Fit,Rejected
3,59.1,2,5,502,77,Rejected,4.0,193.0,Low Fit,Rejected
12,100.0,2,12,753,381,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,66.8,1,8,529,407,Shortlisted,97.5,6.0,High Fit,Shortlisted
10,99.6,0,10,754,331,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,74.1,0,12,575,290,Shortlisted,99.5,2.0,High Fit,Shortlisted
12,87.5,0,12,516,421,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,54.2,2,8,335,255,Rejected,29.5,142.0,Low Fit,Rejected
6,80.4,0,10,462,302,Shortlisted,96.0,9.0,High Fit,Shortlisted
9,87.0,0,11,592,362,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,52.1,1,7,571,201,Rejected,2.5,196.0,Low Fit,Rejected
6,37.5,0,13,577,253,Shortlisted,83.0,35.0,High Fit,Shortlisted
10,68.3,3,13,693,335,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,60.8,0,12,735,423,Shortlisted,99.0,3.0,High Fit,Shortlisted
7,82.0,2,14,617,323,Shortlisted,99.5,2.0,High Fit,Shortlisted
4,62.3,2,7,466,164,Rejected,50.5,100.0,Low Fit,Shortlisted
3,56.8,0,7,406,310,Rejected,11.0,179.0,Low Fit,Rejected
7,66.8,2,10,332,274,Shortlisted,81.5,38.0,High Fit,Shortlisted
7,93.5,0,5,454,212,Shortlisted,73.0,55.0,Medium Fit,Shortlisted
2,65.9,2,6,302,208,Rejected,6.0,189.0,Low Fit,Rejected
5,70.5,0,5,344,107,Rejected,16.0,169.0,Low Fit,Rejected
4,60.0,2,7,653,118,Shortlisted,77.5,46.0,Medium Fit,Shortlisted
1,54.6,1,4,278,129,Rejected,0.0,201.0,,Rejected
7,60.6,2,6,658,311,Shortlisted,90.0,21.0,High Fit,Shortlisted
11,80.2,1,9,551,352,Shortlisted,98.5,4.0,High Fit,Shortlisted
13,70.1,2,17,529,537,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,78.7,0,9,646,335,Shortlisted,94.0,13.0,High Fit,Shortlisted
1,52.2,2,10,271,240,Rejected,15.5,170.0,Low Fit,Rejected
15,100.0,0,23,683,657,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,100.0,0,18,393,546,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,69.3,2,12,673,271,Shortlisted,90.5,20.0,High Fit,Shortlisted
0,84.7,3,2,223,58,Rejected,5.5,190.0,Low Fit,Rejected
11,86.3,1,8,823,391,Shortlisted,98.5,4.0,High Fit,Shortlisted
9,61.5,3,14,729,443,Shortlisted,99.5,2.0,High Fit,Shortlisted
5,72.9,2,11,488,206,Shortlisted,93.5,14.0,High Fit,Shortlisted
12,92.8,2,15,584,496,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,88.5,0,16,754,464,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,76.2,0,11,804,352,Shortlisted,95.5,10.0,High Fit,Shortlisted
0,63.7,2,9,607,235,Rejected,14.5,172.0,Low Fit,Rejected
10,77.6,0,8,740,325,Shortlisted,99.0,3.0,High Fit,Shortlisted
10,79.5,0,11,709,329,Shortlisted,99.5,2.0,High Fit,Shortlisted
14,62.6,1,12,750,473,Shortlisted,99.5,2.0,High Fit,Shortlisted
9,72.0,0,13,747,396,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,69.5,2,14,662,413,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,75.8,2,11,517,403,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,74.4,2,14,562,450,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,77.7,0,11,716,506,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,69.7,0,10,900,367,Shortlisted,99.0,3.0,High Fit,Shortlisted
13,87.5,0,9,699,424,Shortlisted,99.5,2.0,High Fit,Shortlisted
13,78.7,0,9,667,337,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,82.9,2,16,810,578,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,66.1,2,15,682,464,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,52.5,1,4,389,103,Rejected,0.0,201.0,,Rejected
11,100.0,2,13,434,356,Shortlisted,99.0,3.0,High Fit,Shortlisted
6,86.9,0,7,437,275,Shortlisted,95.5,10.0,High Fit,Shortlisted
3,72.9,2,4,452,115,Rejected,11.0,179.0,Low Fit,Rejected
15,83.1,0,20,715,607,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,85.6,2,14,471,453,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,51.5,0,5,659,117,Rejected,0.0,201.0,,Rejected
4,61.0,0,5,301,128,Shortlisted,66.5,68.0,Medium Fit,Shortlisted
2,45.9,1,5,513,140,Rejected,0.0,201.0,,Rejected
6,83.1,0,5,559,86,Shortlisted,70.0,61.0,Medium Fit,Shortlisted
4,72.7,1,7,374,190,Rejected,3.5,194.0,Low Fit,Rejected
8,73.0,0,5,550,233,Shortlisted,90.5,20.0,High Fit,Shortlisted
6,95.5,0,7,395,220,Shortlisted,95.5,10.0,High Fit,Shortlisted
1,69.4,2,10,556,203,Rejected,11.5,178.0,Low Fit,Rejected
3,64.3,1,6,679,86,Rejected,7.5,186.0,Low Fit,Rejected
8,81.0,2,8,611,373,Shortlisted,99.5,2.0,High Fit,Shortlisted
11,60.6,0,14,865,448,Shortlisted,99.5,2.0,High Fit,Shortlisted
13,77.6,3,13,747,350,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,66.2,3,6,511,101,Rejected,6.5,188.0,Low Fit,Rejected
9,74.8,0,13,681,457,Shortlisted,99.0,3.0,High Fit,Shortlisted
8,86.1,2,15,400,313,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,61.0,1,10,773,282,Shortlisted,93.5,14.0,High Fit,Shortlisted
4,74.1,3,8,605,239,Shortlisted,94.5,12.0,High Fit,Shortlisted
1,60.8,0,3,320,57,Rejected,0.0,201.0,,Rejected
3,60.9,1,4,384,7,Rejected,1.5,198.0,Low Fit,Rejected
11,79.7,0,14,676,514,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,59.9,1,15,716,469,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,45.6,0,7,727,333,Shortlisted,78.0,45.0,Medium Fit,Shortlisted
6,59.1,2,14,670,371,Shortlisted,98.5,4.0,High Fit,Shortlisted
11,71.5,0,11,739,375,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,63.8,0,12,507,406,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,70.7,0,11,729,318,Shortlisted,93.5,14.0,High Fit,Shortlisted
14,100.0,0,16,730,517,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,72.4,0,4,390,178,Rejected,1.0,199.0,Low Fit,Rejected
13,94.2,2,22,667,640,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,72.3,0,8,302,178,Rejected,6.5,188.0,Low Fit,Rejected
3,53.4,2,4,287,243,Shortlisted,64.0,73.0,Medium Fit,Shortlisted
1,52.6,0,3,452,54,Rejected,0.0,201.0,,Rejected
7,80.7,0,9,576,230,Rejected,25.0,151.0,Low Fit,Rejected
3,60.1,2,12,307,320,Shortlisted,69.5,62.0,Medium Fit,Shortlisted
1,53.2,0,7,530,34,Rejected,0.5,200.0,Low Fit,Rejected
13,100.0,0,12,564,317,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,72.7,2,16,420,478,Shortlisted,99.5,2.0,High Fit,Shortlisted
